CodeCommune;Code Région;Code Département;Commune;Région;Département;CodePostale;CodePostaleCorrigé;CodePostaleCorrigé;test
1095;;;CHAVANNES SUR SURAN;#N/A;#N/A;1250;1250;1250;'01250
1096;84;1;CHAVEYRIAT;AUVERGNE RHONE ALPES;AIN;1660;1660;1660;'01660
1097;;;CHAVORNAY;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1098;84;1;CHAZEY BONS;AUVERGNE RHONE ALPES;AIN;1300;1300;1300;'01300
1099;84;1;CHAZEY SUR AIN;AUVERGNE RHONE ALPES;AIN;1150;1150;1150;'01150
1100;84;1;CHEIGNIEU LA BALME;AUVERGNE RHONE ALPES;AIN;1510;1510;1510;'01510
1101;84;1;CHEVILLARD;AUVERGNE RHONE ALPES;AIN;1430;1430;1430;'01430
1102;84;1;CHEVROUX;AUVERGNE RHONE ALPES;AIN;1190;1190;1190;'01190
1103;84;1;CHEVRY;AUVERGNE RHONE ALPES;AIN;1170;1170;1170;'01170
1104;84;1;CHEZERY FORENS;AUVERGNE RHONE ALPES;AIN;1200;1200;1200;'01200
1105;84;1;CIVRIEUX;AUVERGNE RHONE ALPES;AIN;1390;1390;1390;'01390
1106;84;1;CIZE;AUVERGNE RHONE ALPES;AIN;1250;1250;1250;'01250
1107;84;1;CLEYZIEU;AUVERGNE RHONE ALPES;AIN;1230;1230;1230;'01230
1108;84;1;COLIGNY;AUVERGNE RHONE ALPES;AIN;1270;1270;1270;'01270
1109;84;1;COLLONGES;AUVERGNE RHONE ALPES;AIN;1550;1550;1550;'01550
1110;84;1;COLOMIEU;AUVERGNE RHONE ALPES;AIN;1300;1300;1300;'01300
1111;84;1;CONAND;AUVERGNE RHONE ALPES;AIN;1230;1230;1230;'01230
1112;84;1;CONDAMINE;AUVERGNE RHONE ALPES;AIN;1430;1430;1430;'01430
1113;84;1;CONDEISSIAT;AUVERGNE RHONE ALPES;AIN;1400;1400;1400;'01400
1114;84;1;CONFORT;AUVERGNE RHONE ALPES;AIN;1200;1200;1200;'01200
1115;84;1;CONFRANCON;AUVERGNE RHONE ALPES;AIN;1310;1310;1310;'01310
1116;84;1;CONTREVOZ;AUVERGNE RHONE ALPES;AIN;1300;1300;1300;'01300
1117;84;1;CONZIEU;AUVERGNE RHONE ALPES;AIN;1300;1300;1300;'01300
1118;84;1;CORBONOD;AUVERGNE RHONE ALPES;AIN;1420;1420;1420;'01420
1119;;;CORCELLES;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1120;;;CORDIEUX;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1121;84;1;CORLIER;AUVERGNE RHONE ALPES;AIN;1110;1110;1110;'01110
1122;;;CORMARANCHE EN BUGEY;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1123;84;1;CORMORANCHE SUR SAONE;AUVERGNE RHONE ALPES;AIN;1290;1290;1290;'01290
1124;84;1;CORMOZ;AUVERGNE RHONE ALPES;AIN;1560;1560;1560;'01560
1125;84;1;CORVEISSIAT;AUVERGNE RHONE ALPES;AIN;1250;1250;1250;'01250
1127;84;1;COURMANGOUX;AUVERGNE RHONE ALPES;AIN;1370;1370;1370;'01370
1128;84;1;COURTES;AUVERGNE RHONE ALPES;AIN;1560;1560;1560;'01560
1129;84;1;CRANS;AUVERGNE RHONE ALPES;AIN;1320;1320;1320;'01320
1130;84;1;BRESSE VALLONS;AUVERGNE RHONE ALPES;AIN;1340;1340;1340;'01340
1130;;;CRAS SUR REYSSOUZE;#N/A;#N/A;1340;1340;1340;'01340
1133;84;1;CRESSIN ROCHEFORT;AUVERGNE RHONE ALPES;AIN;1350;1350;1350;'01350
1134;84;1;CROTTET;AUVERGNE RHONE ALPES;AIN;1290;1290;1290;'01290
1135;84;1;CROZET;AUVERGNE RHONE ALPES;AIN;1170;1170;1170;'01170
1136;84;1;CRUZILLES LES MEPILLAT;AUVERGNE RHONE ALPES;AIN;1290;1290;1290;'01290
1137;;;CUISIAT;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1138;84;1;CULOZ;AUVERGNE RHONE ALPES;AIN;1350;1350;1350;'01350
1139;84;1;CURCIAT DONGALON;AUVERGNE RHONE ALPES;AIN;1560;1560;1560;'01560
1140;84;1;CURTAFOND;AUVERGNE RHONE ALPES;AIN;1310;1310;1310;'01310
1141;84;1;CUZIEU;AUVERGNE RHONE ALPES;AIN;1300;1300;1300;'01300
1142;84;1;DAGNEUX;AUVERGNE RHONE ALPES;AIN;1120;1120;1120;'01120
1143;84;1;DIVONNE LES BAINS;AUVERGNE RHONE ALPES;AIN;1220;1220;1220;'01220
1144;;;DOMMARTIN;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1145;84;1;DOMPIERRE SUR VEYLE;AUVERGNE RHONE ALPES;AIN;1240;1240;1240;'01240
1146;84;1;DOMPIERRE SUR CHALARONNE;AUVERGNE RHONE ALPES;AIN;1400;1400;1400;'01400
1147;84;1;DOMSURE;AUVERGNE RHONE ALPES;AIN;1270;1270;1270;'01270
1148;84;1;DORTAN;AUVERGNE RHONE ALPES;AIN;1590;1590;1590;'01590
1149;84;1;DOUVRES;AUVERGNE RHONE ALPES;AIN;1500;1500;1500;'01500
1150;84;1;DROM;AUVERGNE RHONE ALPES;AIN;1250;1250;1250;'01250
1151;84;1;DRUILLAT;AUVERGNE RHONE ALPES;AIN;1160;1160;1160;'01160
1152;84;1;ECHALLON;AUVERGNE RHONE ALPES;AIN;1130;1130;1130;'01130
1153;84;1;ECHENEVEX;AUVERGNE RHONE ALPES;AIN;1170;1170;1170;'01170
1154;;;ETREZ;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1155;84;1;EVOSGES;AUVERGNE RHONE ALPES;AIN;1230;1230;1230;'01230
1156;84;1;FARAMANS;AUVERGNE RHONE ALPES;AIN;1800;1800;1800;'01800
1157;84;1;FAREINS;AUVERGNE RHONE ALPES;AIN;1480;1480;1480;'01480
1158;84;1;FARGES;AUVERGNE RHONE ALPES;AIN;1550;1550;1550;'01550
1159;84;1;FEILLENS;AUVERGNE RHONE ALPES;AIN;1570;1570;1570;'01570
1160;84;1;FERNEY VOLTAIRE;AUVERGNE RHONE ALPES;AIN;1210;1210;1210;'01210
1162;84;1;FLAXIEU;AUVERGNE RHONE ALPES;AIN;1350;1350;1350;'01350
1163;84;1;FOISSIAT;AUVERGNE RHONE ALPES;AIN;1340;1340;1340;'01340
1165;84;1;FRANCHELEINS;AUVERGNE RHONE ALPES;AIN;1090;1090;1090;'01090
1166;84;1;FRANS;AUVERGNE RHONE ALPES;AIN;1480;1480;1480;'01480
1167;84;1;GARNERANS;AUVERGNE RHONE ALPES;AIN;1140;1140;1140;'01140
1169;84;1;GENOUILLEUX;AUVERGNE RHONE ALPES;AIN;1090;1090;1090;'01090
1170;84;1;BEARD GEOVREISSIAT;AUVERGNE RHONE ALPES;AIN;1460;1460;1460;'01460
1171;84;1;GEOVREISSET;AUVERGNE RHONE ALPES;AIN;1100;1100;1100;'01100
1172;;;GERMAGNAT;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1173;84;1;GEX;AUVERGNE RHONE ALPES;AIN;1170;1170;1170;'01170
1174;84;1;GIRON;AUVERGNE RHONE ALPES;AIN;1130;1130;1130;'01130
1175;84;1;GORREVOD;AUVERGNE RHONE ALPES;AIN;1190;1190;1190;'01190
1177;84;1;GRAND CORENT;AUVERGNE RHONE ALPES;AIN;1250;1250;1250;'01250
